CustomerID,Id khách hàng,Company(Đơn vị),City(Thành phố),Province(Tỉnh),Province Code(Mã vùng),District(Quận Huyện),District Code(Mã Quận Huyện),Ward(Phường Xã),Ward Code(Mã Phường Xã),Country(Quốc gia),Country Code(Mã quốc gia),Zip,Accepts Marketing(Nhận quảng cáo),Tags,Note(Ghi chú),Giới tính,Ngày sinh,Total Spent(Tổng chi tiêu),Total Orders(Tổng đơn hàng)
KH00001,17445770,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00002,17445771,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00003,17445772,,,,,,,,,,,,no,,,male,,0,0
KH00004,17445773,,,,,,,,,,,,no,,,male,,0,0
KH00005,17445774,,,,,,,,,,,,no,,,female,,0,0
KH00006,17445775,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00007,17445776,,,,,,,,,,,,no,,,male,,0,0
KH00008,17445777,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00009,17445778,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00010,17445779,,,,,,,,,,,,no,,,male,,0,0
KH00011,17445780,,,,,,,,,,,,no,,,male,,0,0
KH00012,17445781,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00013,17445782,,,,,,,,,,,,no,,,male,,0,0
KH00014,17445783,,,,,,,,,,,,no,,,male,,0,0
KH00015,17445784,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00016,17445785,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00017,17445786,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00018,17445787,,,,,,,,,,,,no,,,male,,0,0
KH00019,17445788,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00020,17445789,,,,,,,,,,,,no,,,male,,0,0
KH00021,17445790,,,,,,,,,,,,no,,,female,,0,0
KH00022,17445791,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00023,17445792,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00024,17445793,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00025,17445794,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00026,17445795,,,,,,,,,,,,no,,,female,,0,0
KH00027,17445796,,,,,,,,,,,,no,,,male,,0,0
KH00028,17445797,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00029,17445798,,,,,,,,,,,,no,,,male,,0,0
KH00030,17445799,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00031,17445800,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00032,17445801,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00033,17445802,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00034,17445803,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00035,17445804,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00036,17445805,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00037,17445806,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00038,17445807,,,,,,,,,Vietnam,VN,,no,,,male,,1408380,2
KH00039,17445808,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00040,17445809,,,,,,,,,,,,no,,,male,,0,0
KH00041,17445810,,,,,,,,,,,,no,,,male,,754000,1
KH00042,17445811,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00043,17445812,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00044,17445813,,,,,,,,,,,,no,,,male,,0,0
KH00045,17445814,,,,,,,,,,,,no,,,male,,0,0
KH00046,17445815,,,,,,,,,,,,no,,,female,,0,0
KH00047,17445816,,,,,,,,,,,,no,,,male,,0,0
KH00048,17445817,,,,,,,,,,,,no,,,male,,0,0
KH00049,17445818,,,,,,,,,Vietnam,VN,,no,,,other,,0,0
KH00050,17445819,,,,,,,,,Vietnam,VN,,no,,,male,,4090000,2
KH00051,17445820,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00052,17445821,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00053,17445822,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00054,17445823,,,,,,,,,,,,no,,,female,,0,0
KH00055,17445824,,,,,,,,,,,,no,,,male,,0,0
KH00056,17445825,,Lâm Đồng,Lâm Đồng,36.0,,,,,Vietnam,VN,,no,,,female,,0,0
KH00057,17445826,,,,,,,,,,,,no,,,other,,0,0
KH00058,17445827,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00059,17445828,,,,,,,,,Vietnam,VN,,no,,,male,,980000,1
KH00060,17445829,,,,,,,,,,,,no,,,male,,0,0
KH00061,17445830,,,,,,,,,,,,no,,,male,,0,0
KH00062,17445831,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00063,17445832,,,,,,,,,Vietnam,VN,,no,,,female,,0,0
KH00064,17445833,,Đồng Nai,Đồng Nai,21.0,Thành phố Long Khánh,225.0,Phường Xuân Bình,8992.0,Vietnam,VN,,no,sapo_social,Khách gửi Chành Xe Võ Cúc Phương - Bến Xe Long Khánh,female,,14235000,11
KH00065,17445834,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00066,17445835,,,,,,,,,,,,no,,,male,,0,0
KH00067,17445836,,,,,,,,,,,,no,,,male,,0,0
KH00068,17445837,,,,,,,,,,,,no,,,male,,0,0
KH00069,17445838,,,,,,,,,,,,no,,,female,,0,0
KH00070,17445839,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00071,17445840,,,,,,,,,,,,no,,,female,,0,0
KH00072,17445841,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00073,17445842,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00074,17445843,,,,,,,,,Vietnam,VN,,no,,,male,,0,0
KH00075,17445844,,,,,,,,,,,,no,,,male,,0,0
KH00076,17445845,,,,,,,,,,,,no,,,female,,0,0
