STT,Mã đơn hàng,Nguồn,Nhân viên tạo đơn,Mã SKU,Số lượng sản phẩm,Giá sản phẩm,Tổng số lượng sản phẩm,Tổng tiền,Ngày tạo đơn
1.0,HD5206,Zalo,CTG,CTG000646,6,350000,6,2125000,06-04-2026 12:16
10.0,HD5197,POS,PT 01,CTG000764,1,913000,1,913000,04-04-2026 18:11
12.0,HD5195,POS,PT 01,CTG000547,1,300000,1,300000,04-04-2026 16:17
22.0,HD5185,POS,PT 01,CTG000584,1,980000,1,980000,03-04-2026 11:53
30.0,HD5177,POS,PT 01,CTG000521,1,950000,1,950000,01-04-2026 18:48
31.0,HD5176,POS,PT 01,CTG000860,1,1600000,1,1760000,01-04-2026 13:51
34.0,HD5173,Facebook,Sale Kim Yến,CTG000861,1,750000,2,1710000,31-03-2026 13:34
,HD5173,Facebook,Sale Kim Yến,CTG000700,1,940000,2,1710000,31-03-2026 13:34
40.0,HD5166,POS,Sale Kim Yến,CTG000861,2,750000,2,1500000,30-03-2026 16:22
48.0,HD5158,POS,Sale Kim Yến,CTG000647,1,430000,1,430000,29-03-2026 16:28
67.0,HD5139,POS,Sale Kim Yến,CTG000649,2,891000,5,3830200,26-03-2026 19:35
,HD5133,Zalo,Sale Kim Yến,CTG000649,4,891000,6,5482400,26-03-2026 10:56
86.0,HD5120,POS,Sale Kim Yến,CTG000861,2,750000,2,1500000,24-03-2026 17:42
87.0,HD5119,POS,Sale Kim Yến,CTG000760,1,715000,1,715000,24-03-2026 17:37
91.0,HD5115,Zalo,Sale Kim Yến,CTG000698,2,380000,2,775000,24-03-2026 10:23
92.0,HD5114,POS,Sale Kim Yến,CTG000455,1,759000,1,759000,23-03-2026 17:59
97.0,HD5109,POS,Sale Kim Yến,BKT242382,1,550000,1,550000,22-03-2026 17:41
112.0,HD5094,Zalo,Sale Kim Yến,CTG000761,1,715000,2,1335000,20-03-2026 19:02
113.0,HD5093,POS,Sale Kim Yến,CTG000547,1,300000,1,300000,20-03-2026 17:35
119.0,HD5087,Zalo,Sale Kim Yến,CTG000425,1,600000,1,600000,19-03-2026 19:51
,HD5080,POS,CTG,CTG000719,1,70000,2,125000,19-03-2026 11:31
127.0,HD5079,POS,Sale Kim Yến,CTG000698,1,380000,2,1095000,18-03-2026 18:31
,HD5079,POS,Sale Kim Yến,CTG000761,1,715000,2,1095000,18-03-2026 18:31
134.0,HD5072,POS,Sale Kim Yến,CTG000647,1,430000,1,473000,17-03-2026 16:46
136.0,HD5070,Zalo,Sale Kim Yến,CTG000913,6,354000,6,2124000,17-03-2026 15:14
140.0,HD5066,POS,Sale Kim Yến,CTG000585,1,830000,1,722100,16-03-2026 20:37
146.0,HD5060,POS,Sale Kim Yến,CTG000760,2,715000,2,1430000,15-03-2026 18:23
149.0,HD5057,POS,Sale Kim Yến,CTG000646,1,425000,2,1248500,15-03-2026 16:33
,HD5048,POS,Sale Kim Yến,CTG000425,1,600000,5,800000,14-03-2026 11:50
159.0,HD5047,POS,Sale Kim Yến,CTG000649,2,891000,2,1782000,14-03-2026 10:39
180.0,HD5025,Facebook,CTG,CTG000651,1,850000,1,870000,11-03-2026 12:45
182.0,HD5023,POS,CTG,CTG000765,1,2970000,1,3267000,11-03-2026 10:16
183.0,HD5022,Zalo,Sale Kim Yến,CTG000425,1,600000,1,600000,10-03-2026 20:41
184.0,HD5021,POS,Sale Kim Yến,CTG000590,1,900000,2,1794500,10-03-2026 20:11
,HD5021,POS,Sale Kim Yến,,1,950000,2,1794500,10-03-2026 20:11
,HD5020,POS,Sale Kim Yến,CTG000425,1,600000,2,1000000,10-03-2026 18:52
190.0,HD5015,POS,Sale Kim Yến,CTG000619,1,610000,2,1523000,09-03-2026 16:52
,HD5015,POS,Sale Kim Yến,CTG000763,1,913000,2,1523000,09-03-2026 16:52
192.0,HD5013,POS,Sale Kim Yến,CTG000378,1,357000,1,357000,09-03-2026 12:55
194.0,HD5011,POS,Sale Kim Yến,CTG000378,1,357000,1,357000,08-03-2026 18:33
196.0,HD5009,POS,Sale Kim Yến,CTG000674,1,2450000,1,2205000,08-03-2026 17:50
199.0,HD5006,POS,Sale Kim Yến,CTG000757,1,550000,1,495000,08-03-2026 15:52
,HD5002,Zalo,Sale Kim Yến,CTG000616,2,605000,4,2138400,08-03-2026 12:26
,HD4996,POS,CTG,CTG000698,1,380000,2,782000,07-03-2026 10:21
215.0,HD4990,Zalo,Sale Kim Yến,CTG000733,24,350000,24,8500000,06-03-2026 13:28
219.0,HD4986,POS,Sale Kim Yến,CTG000647,1,430000,1,430000,05-03-2026 19:21
222.0,HD4983,POS,Sale Kim Yến,PK0011,1,90000,2,940000,05-03-2026 18:22
,HD4983,POS,Sale Kim Yến,CTG000650,1,850000,2,940000,05-03-2026 18:22
229.0,HD4976,Website,,CTG000722,1,440000,3,1320000,05-03-2026 08:42
,HD4976,Website,,CTG000724,1,440000,3,1320000,05-03-2026 08:42
,HD4976,Website,,CTG000368,1,440000,3,1320000,05-03-2026 08:42
234.0,HD4971,POS,Sale Kim Yến,CTG000565,1,1150000,2,1979770,04-03-2026 17:54
,HD4971,POS,Sale Kim Yến,CTG000649,1,891000,2,1979770,04-03-2026 17:54
239.0,HD4966,Facebook,Sale Kim Yến,CTG000378,1,357000,1,377000,03-03-2026 20:13
242.0,HD4963,POS,Sale Kim Yến,CTG000766,1,2970000,1,2970000,03-03-2026 14:31
,HD4956,Zalo,Sale Kim Yến,BKT242382,1,550000,2,1100000,01-03-2026 19:15
250.0,HD4954,POS,Sale Kim Yến,CTG000391,1,1800000,1,1800000,01-03-2026 17:24
255.0,HD4949,POS,Sale Kim Yến,CTG000547,1,270000,1,270000,01-03-2026 12:12
266.0,HD4938,POS,Sale Kim Yến,CTG000649,1,891000,3,1991000,28-02-2026 16:33
,HD4938,POS,Sale Kim Yến,CTG000757,2,550000,3,1991000,28-02-2026 16:33
267.0,HD4937,POS,Sale Kim Yến,CTG000719,1,70000,3,2620000,28-02-2026 14:13
,HD4937,POS,Sale Kim Yến,CTG000477,1,1600000,3,2620000,28-02-2026 14:13
,HD4937,POS,Sale Kim Yến,CTG000660,1,950000,3,2620000,28-02-2026 14:13
268.0,HD4936,POS,Sale Kim Yến,CTG000547,2,300000,2,600000,28-02-2026 13:34
278.0,HD4926,POS,Sale Kim Yến,CTG000378,1,357000,1,357000,27-02-2026 18:14
,HD4922,POS,Sale Kim Yến,CTG000425,1,600000,2,1850000,27-02-2026 12:06
283.0,HD4921,Zalo,Sale Kim Yến,CTG000649,12,800000,12,9600000,27-02-2026 10:39
291.0,HD4913,POS,Sale Kim Yến,CTG000719,5,70000,5,350000,25-02-2026 18:42
294.0,HD4910,POS,Sale Kim Yến,CTG000649,4,891000,6,6670400,25-02-2026 10:54
,HD4910,POS,Sale Kim Yến,CTG000456,2,1300000,6,6670400,25-02-2026 10:54
297.0,HD4907,POS,CTG,CTG000481,2,1350000,4,5830000,24-02-2026 14:55
,HD4907,POS,CTG,CTG000456,2,1300000,4,5830000,24-02-2026 14:55
299.0,HD4905,Facebook,CTG,CTG000722,1,440000,1,440000,24-02-2026 12:03
301.0,HD4903,Admin,Hồ Phương,CTG000700,1,940000,2,1570000,20-02-2026 14:05
304.0,HD4900,POS,Sale Kim Yến,CTG000700,1,940000,2,2140000,16-02-2026 17:06
,HD4900,POS,Sale Kim Yến,CTG000419,1,1200000,2,2140000,16-02-2026 17:06
311.0,HD4893,POS,Sale Kim Yến,CTG000382,1,735000,2,2035000,16-02-2026 11:52
,HD4893,POS,Sale Kim Yến,CTG000675,1,1300000,2,2035000,16-02-2026 11:52
,HD4889,POS,Sale Kim Yến,CTG000423,1,1520000,2,7120000,16-02-2026 11:13
323.0,HD4880,Zalo,Sale Kim Yến,CTG000509,2,6280000,2,12680000,15-02-2026 16:39
