Method,Recall@1,NDCG@1,IntentMatch@1,CountryMatch@1,VarietyMatch@1,Recall@5,NDCG@5,IntentMatch@5,CountryMatch@5,VarietyMatch@5,Recall@10,NDCG@10,IntentMatch@10,CountryMatch@10,VarietyMatch@10,MRR,Latency_ms
BM25,0.006,0.006,0.068,0.528,0.096,0.014,0.009547411228938166,0.25,0.856,0.378,0.026,0.013356734846524509,0.374,0.888,0.538,0.009661111111111112,205.73363399505615
BM25+ Enhanced,0.008,0.008,0.114,0.788,0.14,0.024,0.015706188973839866,0.364,0.97,0.406,0.038,0.020100509394913698,0.498,0.982,0.546,0.01476904761904762,294.35673475265503
TF-IDF CF,0.0,0.0,0.074,0.684,0.094,0.008,0.004785578521428744,0.272,0.886,0.35,0.018,0.00786542457695857,0.412,0.934,0.518,0.004846825396825396,1.1370925903320312
TF-IDF + LSA,0.0,0.0,0.108,0.812,0.12,0.0,0.0,0.278,0.892,0.322,0.006,0.001911462985969109,0.38,0.918,0.44,0.0007714285714285713,0.36202716827392584
Hybrid BM25+TF-IDF,0.006,0.006,0.066,0.536,0.102,0.012,0.009261859507142915,0.254,0.836,0.374,0.022,0.012470918913350148,0.392,0.9,0.534,0.009640476190476189,207.80623626708984
Popularity-Based,0.0,0.0,0.006,0.148,0.062,0.0,0.0,0.016,0.324,0.244,0.0,0.0,0.04,0.61,0.414,0.0,12.14883279800415
Random Baseline,0.0,0.0,0.01,0.098,0.052,0.0,0.0,0.03,0.378,0.258,0.0,0.0,0.062,0.606,0.452,0.0,0.002002239227294922
Struct-Filter TF-IDF,0.004,0.004,0.088,0.73,0.11,0.008,0.006261859507142915,0.274,0.902,0.342,0.018,0.009411383608914303,0.442,0.944,0.526,0.0069166666666666664,132.74481010437012
Struct-Filter BM25,0.006,0.006,0.068,0.528,0.096,0.014,0.009547411228938166,0.25,0.856,0.378,0.026,0.013356734846524509,0.374,0.888,0.538,0.009661111111111112,209.70852327346802
Struct-Filter+Price,0.004,0.004,0.088,0.73,0.11,0.008,0.006261859507142915,0.274,0.902,0.342,0.018,0.009411383608914303,0.442,0.944,0.526,0.0069166666666666664,135.08739948272705
GNN-Filter,,,,,,,,,,,,,,,,,
